iteration,cov_quota
1,0.5
1,0.6
2,0.6
3,0.6749999999999999
4,0.7000000000000001
5,0.7833333333333333
6,0.8142857142857143
7,0.8125
8,0.8444444444444444
9,0.85
10,0.872727272727273
11,0.8916666666666669
12,0.8923076923076926
13,0.9000000000000002
14,0.9200000000000003
15,0.9312500000000002
16,0.935294117647059
17,0.9444444444444444
18,0.9473684210526315
19,0.9549999999999998
20,0.9619047619047617
21,0.9636363636363633
22,0.9608695652173909
23,0.9624999999999996
24,0.9639999999999995
25,0.9615384615384611
26,0.9666666666666662
27,0.9678571428571424
28,0.9724137931034479
29,0.9766666666666663
30,0.9806451612903223
31,0.9843749999999998
32,0.9878787878787877
33,0.9882352941176469
34,0.9914285714285713
35,0.9916666666666666
36,0.9891891891891891
37,0.9842105263157892
38,0.9897435897435896
39,0.9924999999999999
40,0.9926829268292682
41,0.9857142857142855
42,0.9906976744186046
43,0.9954545454545454
44,0.9911111111111109
45,0.9913043478260868
46,0.9893617021276594
47,0.9895833333333331
48,0.9877551020408162
49,0.9899999999999999
50,0.992156862745098
51,0.9942307692307691
52,0.9943396226415093
53,0.9962962962962962
54,0.9981818181818182
55,0.9982142857142857
56,1.0
